codigo,nombre,codigo_madre,nivel,orden,imputable,elemento,clasificacion_corriente_no_corriente,rubro,cuenta,subcuenta,requiere_auxiliar,tipo_auxiliar,es_regularizadora,cuenta_regularizada_codigo,tipo_regularizadora,saldo_normal,significado_saldo_normal,permite_saldo_deudor,significado_saldo_deudor,permite_saldo_acreedor,significado_saldo_acreedor,alertar_saldo_invertido,tratamiento_saldo_invertido,requiere_reclasificacion_saldo_invertido,monetaria_no_monetaria,criterio_medicion,ajustable,participa_recpam,admite_moneda_extranjera,requiere_tipo_cambio,genera_diferencia_cambio,es_cuenta_modelo,permite_copiar_modelo,uso_operativo_sistema,modulo_sugerido,presentacion_estado_contable,orden_presentacion,cuando_debitar,cuando_acreditar,errores_frecuentes,observaciones,estado
1.00.00.00,ACTIVO,,4,10,0,ACTIVO,NO_APLICA,,ACTIVO,,0,,0,,,DEUDOR,,,,,,,,,,,,,,,,0,0,,,,10,,,,,ACTIVA
1.10.00.00,ACTIVO CORRIENTE,1.00.00.00,4,11,0,ACTIVO,CORRIENTE,,ACTIVO CORRIENTE,,0,,0,,,DEUDOR,,,,,,,,,,,,,,,,0,0,,,,11,,,,,ACTIVA
1.1.01.00,Caja y Bancos,1.10.00.00,4,12,0,ACTIVO,CORRIENTE,,Caja y Bancos,,0,,0,,,DEUDOR,,,,,,,,,,,,,,,,0,0,,,,12,,,,,ACTIVA
1.1.01.01,Caja,1.1.01.00,4,13,1,ACTIVO,CORRIENTE,Caja y Bancos,,Caja,0,,0,,,DEUDOR,,,,,,,,,,,,,,,,1,1,CAJA_GENERAL,Caja,,13,,,,,ACTIVA
1.1.02.00,Banco Cta. Cte.,1.1.01.00,4,14,0,ACTIVO,CORRIENTE,Caja y Bancos,Banco Cta. Cte.,,0,,0,,,DEUDOR,,,,,,,,,,,,,,,,1,1,BANCO_CUENTA_CORRIENTE,Banco/Caja,,14,,,,,ACTIVA
1.1.02.1,Banco Nación Cta. Cte.,1.1.02.00,4,15,1,ACTIVO,CORRIENTE,Banco Cta. Cte.,,Banco Nación Cta. Cte.,0,,0,,,DEUDOR,,,,,,,,,,,,,,,,0,0,BANCO_CUENTA_CORRIENTE,Banco/Caja,,15,,,,,ACTIVA
1.1.02.2,Banco Río Cta. Cte.,1.1.02.00,4,16,1,ACTIVO,CORRIENTE,Banco Cta. Cte.,,Banco Río Cta. Cte.,0,,0,,,DEUDOR,,,,,,,,,,,,,,,,0,0,BANCO_CUENTA_CORRIENTE,Banco/Caja,,16,,,,,ACTIVA
1.1.02.3,Banco Francés Cta. Cte.,1.1.02.00,4,17,1,ACTIVO,CORRIENTE,Banco Cta. Cte.,,Banco Francés Cta. Cte.,0,,0,,,DEUDOR,,,,,,,,,,,,,,,,0,0,BANCO_CUENTA_CORRIENTE,Banco/Caja,,17,,,,,ACTIVA
1.1.02.4,Banco Macro Cta. Cte.,1.1.02.00,4,18,1,ACTIVO,CORRIENTE,Banco Cta. Cte.,,Banco Macro Cta. Cte.,0,,0,,,DEUDOR,,,,,,,,,,,,,,,,0,0,BANCO_CUENTA_CORRIENTE,Banco/Caja,,18,,,,,ACTIVA
1.1.02.50,Billeteras virtuales y plataformas de cobro,1.1.01.00,4,19,0,ACTIVO,CORRIENTE,Caja y Bancos,Billeteras virtuales y plataformas de cobro,,0,,0,,,DEUDOR,,,,,,,,,,,,,,,,1,1,BILLETERA_VIRTUAL,Banco/Caja,,19,,,,Cuenta agregada para compatibilidad operativa del sistema actual.,ACTIVA
1.1.02.50.1,Mercado Pago / Billeteras Virtuales,1.1.02.50,5,20,1,ACTIVO,CORRIENTE,Billeteras virtuales y plataformas de cobro,,Mercado Pago / Billeteras Virtuales,0,,0,,,DEUDOR,,,,,,,,,,,,,,,,0,0,BILLETERA_VIRTUAL,Banco/Caja,,20,,,,Cuenta agregada para compatibilidad operativa del sistema actual.,ACTIVA
1.1.03.00,Fondo Fijo,1.1.01.00,4,21,1,ACTIVO,CORRIENTE,Caja y Bancos,,Fondo Fijo,0,,0,,,DEUDOR,,,,,,,,,,,,,,,,1,1,FONDO_FIJO,Caja,,21,,,,,ACTIVA
1.1.04.00,Giros Bancarios,1.1.01.00,4,22,1,ACTIVO,CORRIENTE,Caja y Bancos,,Giros Bancarios,0,,0,,,DEUDOR,,,,,,,,,,,,,,,,0,0,BANCO_CUENTA_CORRIENTE,Banco/Caja,,22,,,,,ACTIVA
1.1.05.00,Moneda Extranjera,1.1.01.00,4,23,0,ACTIVO,CORRIENTE,Caja y Bancos,Moneda Extranjera,,0,,0,,,DEUDOR,,,,,,,,,,,,,1,1,1,1,1,CAJA_GENERAL,Caja,,23,,,,,ACTIVA
1.1.05.1,Moneda Extranjera Dólares,1.1.05.00,4,24,1,ACTIVO,CORRIENTE,Moneda Extranjera,,Moneda Extranjera Dólares,0,,0,,,DEUDOR,,,,,,,,,,,,,1,1,1,0,0,CAJA_GENERAL,,,24,,,,,ACTIVA
1.1.05.2,Moneda Extranjera Euros,1.1.05.00,4,25,1,ACTIVO,CORRIENTE,Moneda Extranjera,,Moneda Extranjera Euros,0,,0,,,DEUDOR,,,,,,,,,,,,,1,1,1,0,0,CAJA_GENERAL,,,25,,,,,ACTIVA
1.1.06.00,Valores a Depositar,1.1.01.00,4,26,1,ACTIVO,CORRIENTE,Caja y Bancos,,Valores a Depositar,0,,0,,,DEUDOR,,,,,,,,,,,,,,,,0,0,VALORES_A_DEPOSITAR,Banco/Caja,,26,,,,,ACTIVA
1.1.07.00,Recaudaciones a Depositar,1.1.01.00,4,27,1,ACTIVO,CORRIENTE,Caja y Bancos,,Recaudaciones a Depositar,0,,0,,,DEUDOR,,,,,,,,,,,,,,,,0,0,RECAUDACIONES_A_DEPOSITAR,Banco/Caja,,27,,,,,ACTIVA
1.1.08.00,(-) Prev. p/ Diferencia de Cotiz. Mon. Extranjera,1.1.01.00,4,28,1,ACTIVO,CORRIENTE,Caja y Bancos,,(-) Prev. p/ Diferencia de Cotiz. Mon. Extranjera,0,,1,1.1.05.00,PREVISION,ACREEDOR,,,,,,,,,,,,,1,1,1,0,0,,,,28,,,,,ACTIVA
